,CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants,r_inhibition_at_50_uM,f_inhibition_at_50_uM,r_active,f_active
26,LOR-NOR-30067bb9-18,63.96050000000001,2,5,0,76.30000000000003,109.71289952289305,1.5616,-6.6,5.950109842490847,-69.0045,6.036463355699862,94.0515123163933,-2.395457,1,0
27,JAN-GHE-74b8b0cb-1,102.70240000000004,5,6,2,102.32,163.60954686820924,1.5875,-8.9,7.394555955627707,-84.8332,7.229990721500722,,,0,0
28,MAT-POS-c478e61b-1,96.43240000000002,5,5,2,85.25,153.43753720823327,2.2273,-8.4,7.539899357975358,-92.2168,7.281809807470304,,,0,0
29,MAT-POS-c9973a83-1,79.31170000000003,4,3,1,51.22,122.2961095041343,3.233220000000001,-6.3,6.207435467032961,-76.8062,6.500052550560549,,48.298705,0,0
30,JAG-UCB-47403a7c-1,81.34770000000003,3,5,1,69.03999999999999,131.9865069972265,2.6895200000000012,-6.8,6.426143021811527,-74.2508,6.315340527084026,0.0,-2.4054615000000004,0,0
31,COM-UCB-8c7d23dc-1,72.20840000000003,4,5,2,92.79,117.75861536602815,1.5094999999999996,-7.3,6.2158787310467325,-70.5508,5.9120223658563535,,-3.69242,0,0
32,COM-UCB-8c7d23dc-6,85.57040000000002,4,5,2,86.8,132.32836359345904,1.5658999999999998,-7.2,7.156988054112554,-77.6001,7.268247026029528,,-5.3573265,0,0
33,COM-UCB-8c7d23dc-7,105.17840000000002,3,4,2,76.02000000000002,157.14541607479958,3.2376000000000014,-8.1,7.0992078030303025,-83.2526,7.297268246864245,,-2.9704775000000003,0,0
34,COM-UCB-8c7d23dc-12,93.79990000000004,2,5,2,100.88,141.27283232283318,2.9334400000000014,-7.8,7.019069277722279,-76.8489,6.8477594234654235,,-4.980233999999999,0,0
35,COM-UCB-8c7d23dc-13,80.80510000000002,3,4,3,99.77,131.24247489434993,1.6080999999999996,-7.5,6.711450452991447,-76.84,7.388924770118767,,-3.070475,0,0
36,COM-UCB-8c7d23dc-15,84.96390000000002,3,5,2,87.97,130.57663625714434,2.3717,-7.8,7.252232968364978,-79.6518,7.3113796219336304,,9.0147005,0,0
37,COM-UCB-8c7d23dc-16,106.17640000000004,3,5,2,86.8,161.72645616353054,3.4782400000000018,-7.3,7.341491641525147,-79.4558,6.975299549284053,,-5.2087325,0,0
38,COM-UCB-8c7d23dc-18,92.77090000000004,2,6,2,105.81,141.05690634483943,2.2719400000000003,-7.5,7.113856055833058,-76.058,7.175761213286709,,6.1040345,0,0
39,ALP-POS-3fc1724e-1,100.4009,6,4,2,80.41999999999999,154.25284136542012,2.9989000000000012,-7.2,6.873761318181818,-75.809,6.425225056998558,,,0,0
40,JAG-UCB-119787ef-1,81.22770000000004,3,5,1,69.04,131.98650699722654,2.771200000000001,-6.9,7.237946399711398,-74.0125,7.0729845357975325,-10.4420452240504,19.45136,0,0
41,MAT-POS-968e8d9c-1,81.22770000000004,3,5,1,69.04,131.98650699722654,2.771200000000001,-6.3,6.309919537740037,-68.4765,6.881663831890329,-19.405210008949602,-7.609566,0,0
42,BRU-THA-a358fbdd-2,80.82870000000005,3,5,1,69.04,128.0481828847415,2.2919,-6.9,6.654312262681764,-76.315,6.941069073926068,0.0,0.0309759999999999,0,0
43,BRU-THA-a358fbdd-7,76.17570000000003,3,5,1,69.04,125.8487761732711,2.2569,-7.0,6.9716538139083095,-70.4004,7.12697829076478,,3.561115,0,0
44,JAG-UCB-c61058a9-1,81.34770000000003,3,5,1,69.03999999999999,131.9865069972265,2.6895200000000012,-6.5,6.515771660672662,-67.816,6.845774719891223,,,0,0
45,LON-WEI-0a73fcb8-1,96.27900000000004,3,4,0,45.67,146.3549098505936,3.3301000000000025,-6.1,6.84655599050949,-60.0109,6.8271883122433135,0.0,-4.9626175,0,0
46,LON-WEI-0a73fcb8-2,88.50400000000003,3,4,0,51.66,139.3436792955005,3.2727000000000017,-6.3,6.7052573621933655,-64.4325,6.859307991841492,0.0,2.5409040000000003,0,0
