CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LON-WEI-babf2c61-4,134.58149999999998,8,4,2,82.53,204.68250894777114,4.843000000000004
LON-WEI-babf2c61-5,124.22870000000002,8,3,1,62.300000000000004,203.5933212880457,5.512100000000004
LON-WEI-babf2c61-6,123.95570000000002,8,3,1,62.300000000000004,199.65499717556065,5.167120000000004
LON-WEI-babf2c61-7,123.93370000000002,8,4,1,86.09,204.04757685702936,4.730380000000004
LON-WEI-babf2c61-8,120.88350000000001,8,4,2,82.53,198.08428881336002,4.564300000000004
LON-WEI-babf2c61-9,119.21870000000001,8,3,1,62.300000000000004,193.290055061164,4.858700000000004
LON-WEI-babf2c61-10,122.97770000000003,8,5,1,88.33,191.85360874636777,4.1254000000000035
LON-WEI-babf2c61-11,127.98770000000003,8,5,1,88.33,202.15687497324944,4.778800000000004
LON-WEI-babf2c61-13,127.71470000000004,8,5,1,88.33,198.2185508607644,4.433820000000003
JAG-UCB-4709a583-1,86.61470000000003,3,6,1,75.42,136.4624767168117,1.9950999999999997
DAR-DIA-8e329c92-9,104.55390000000001,4,2,2,61.96,150.0392070968633,3.653800000000002
JAG-UCB-ef2c0e8e-2,63.93640000000002,2,2,2,58.2,101.54059871089575,1.6662000000000001
JAG-UCB-ef2c0e8e-7,68.9261,3,5,3,104.69999999999999,120.91416997808362,0.8438999999999994
JAG-UCB-ef2c0e8e-8,77.29420000000003,4,3,1,80.47,119.36713124081557,1.0221200000000001
ERI-BAS-37e2bb46-1,106.9945,4,6,2,93.18,166.53790633404267,3.2757000000000014
ERI-BAS-bd3ef700-1,113.50710000000005,6,4,3,103.01000000000002,174.25880948208766,3.2242200000000016
ALP-POS-c59291d4-1,124.91499999999999,6,5,0,51.02,183.73623065958475,5.393200000000005
ALP-POS-c59291d4-2,118.39970000000002,7,6,1,80.12,177.48534708036237,4.074700000000003
ALP-POS-c59291d4-3,120.8327,7,6,1,80.12,182.84445804122973,4.074700000000003
ALP-POS-c59291d4-4,109.0257,6,6,1,63.050000000000004,160.59394075152542,3.7679000000000027
ALP-POS-c59291d4-6,125.53320000000004,5,4,1,75.44,189.20667208891,5.274900000000005
ALP-POS-c0c213c9-9,132.29649999999992,8,7,0,78.07000000000001,202.58856429596176,4.426800000000004
ALP-POS-c0c213c9-14,112.01200000000001,6,5,0,63.910000000000004,169.03033938437645,3.6530000000000022
MAT-POS-c79fcd02-1,115.43670000000002,8,7,1,87.5,178.89932161382777,3.5572000000000017
ALP-POS-91609ae9-1,80.99270000000003,4,2,1,52.230000000000004,128.08558292770442,2.8093200000000014
ALP-POS-91609ae9-2,88.93140000000004,4,4,1,62.46,137.85667647411432,3.124920000000002
ALP-POS-91609ae9-3,88.49270000000003,3,3,1,65.12,137.22546477999762,3.0535000000000005
EDJ-MED-6af13d92-1,100.12790000000003,6,4,2,80.41999999999999,150.31451725293513,2.653920000000001
EDJ-MED-6af13d92-2,95.34890000000003,6,4,2,80.41999999999999,148.11511054146473,2.4846000000000004
EDJ-MED-6af13d92-3,101.94290000000002,7,5,2,89.64999999999999,155.42806248244202,2.3541
BEN-BAS-baaab58b-1,93.65200000000002,6,4,5,135.53,147.16083297581227,0.20060000000000017
MAT-POS-ee51dedd-1,73.73400000000002,3,3,0,47.34,117.7221442299415,1.4412800000000001
