CID,qvina,rfscore_qvina,plants,rfscore_plants
ADA-UCB-6c2cb422-1,-7.2,6.006206573426577,-79.935,6.30770757792208
NAU-LAT-8502cac5-1,-7.0,6.566028043900541,-80.6445,6.966218116383616
MAK-UNK-129dcd6f-9,-6.5,6.891688542235543,-61.2007,6.964942589410594
MAT-POS-590ac91e-58,-8.8,7.03994765373515,-76.72,6.955385369241864
LON-WEI-ff7b210a-3,-7.2,6.287139208513705,-69.7113,6.329333479575978
JAN-GHE-83b26c96-25,-7.1,6.710720583916088,-72.1141,6.791826065878572
MAR-UNI-9ca61fdc-1,-6.0,6.662127588023091,-70.2999,6.583557921026684
LON-WEI-adc59df6-44,-6.4,7.107195055527807,-80.3326,7.088863688478191
MAT-POS-590ac91e-22,-5.5,5.473139109446112,-70.4662,6.2171635784215775
DAN-LON-a5fc619e-3,-6.7,6.8700688145188185,-81.1983,6.721398474747473
LON-WEI-adc59df6-99,-6.3,6.992946518620268,-73.4296,7.029194115967366
ALP-POS-90c18d1d-1,-6.9,6.766729430735924,-84.6463,6.9779453639971205
DAR-DIA-fb20be43-6,-7.1,6.655689784992787,-79.3041,6.849797700577202
MIH-UNI-e573136b-5,-6.6,7.0259651377544055,-79.9072,6.755351652125647
VLA-UCB-00f2c2b3-1,-6.5,6.784382282384282,-78.3328,7.024025028915534
JOH-MSK-35a8745a-1,-5.8,6.036359120934622,-67.7586,6.026493467199466
WAR-XCH-b72a1bbc-49,-6.1,6.674725130425129,-72.7204,6.544829459984458
SWA-SYN-d2e6fa14-9,-7.9,6.807817625818634,-77.2645,7.1660259599844665
DAR-DIA-23aa0b97-14,-6.3,5.547126531746036,-63.8572,6.264376728771228
NIR-THE-c331be7a-1,-6.8,6.502507966144964,-76.2028,6.61201313064713
LON-WEI-ff7b210a-9,-8.8,7.4841706057275985,-78.2518,7.170225597624599
WAR-XCH-b6889685-26,-7.6,6.897369906093893,-86.0561,6.912455560717056
JAN-GHE-83b26c96-14,-6.6,6.070951220446224,-78.9502,6.51180196003996
LON-WEI-1908424e-1,-6.3,5.994515039238545,-76.0605,6.386525655344659
JOH-UNI-c7afdb96-6,-6.8,6.317205418470416,-75.7034,6.353170044566539
LON-WEI-1908424e-14,-7.2,7.037256885891894,-76.7615,7.310707407148416
WAR-XCH-72a8c209-9,-7.2,6.628291867604619,-86.2064,7.0999785617438045
ALP-POS-c0c213c9-5,-7.5,7.407349679542682,-97.452,7.45439042279943
MAT-POS-590ac91e-53,-7.6,7.3219310130702615,-83.7945,6.767129953324455
AAR-POS-8a4e0f60-8,-7.7,7.145551724081472,-86.3211,7.504207543234539
BRU-THA-a358fbdd-2,-6.9,6.654312262681764,-76.315,6.941069073926068
MAK-UNK-0d6072ac-20,-6.8,6.256950696303695,-80.0996,6.299048184038183
MED-COV-4280ac29-12,-6.6,5.474051353091356,-75.6987,7.034297356421358
LOR-NOR-30067bb9-2,-7.4,6.286364335997334,-79.1245,6.624474805805303
LOR-NOR-30067bb9-3,-7.0,6.3019603542568525,-81.623,6.426581883671881
LON-WEI-ff7b210a-1,-8.8,6.803755205572211,-87.4807,7.118578637029639
LON-WEI-adc59df6-31,-6.3,7.058213923354424,-77.6404,7.357216518564768
MAT-POS-590ac91e-70,-9.0,7.18107775480075,-77.4357,7.041079419746917
MAT-POS-590ac91e-46,-8.0,7.2884073198190675,-86.4321,6.3429671796536775
NIR-THE-c331be7a-2,-7.5,6.514728058497058,-77.1674,6.771679502164509
MAR-UNI-c84db004-6,-8.0,6.292021111388609,-76.1851,6.292846104118103
LON-WEI-1908424e-8,-8.1,7.214060009712509,-88.4762,7.1858663212065705
JAG-UCB-a3ef7265-4,-6.6,6.457688822677326,-70.7175,6.051264704351205
CHR-SOS-7098f804-11,-5.8,5.520270148240644,-58.6352,5.1397324990565005
BAR-COM-4e090d3a-8,-7.7,7.272615301698309,-79.175,7.045909433566438
ROD-LAS-d5538ff9-1,-7.7,7.305879248695747,-79.7504,7.205634631283753
MIH-UNI-6b9ca91a-5,-7.1,6.386914807248303,-77.3781,6.566792986346981
DAR-DIA-8e329c92-9,-8.5,6.7534064190254215,-81.1663,6.795490791541799
BAR-COM-0f94fc3d-40,-7.2,6.8572868450993445,-84.7168,6.974463960372955
BAR-COM-0f94fc3d-20,-7.3,7.1943076776001735,-83.0004,7.183497644411143
DUN-NEW-f8ce3686-25,-7.0,6.870796839160845,-84.7366,6.8124879519369514
